#source_id,id2,RA,Dec,gl,gb,amplitude,beyond1std,fpr_mid20,fpr_mid35,fpr_mid50,fpr_mid65,fpr_mid80,linear_trend,max_slope,med_abs_dev,med_buf_range_per,pair_slope_trend,percent_amplitude,pdfp,skew,kurtosis,std,magratio,data_num,npeaks,peakstats,class
CSS110125:041350+094515,11012510902312021431,63.458294,9.754231,152.497346,-28.047199,2.521776,0.111111,0.185697,0.263994,0.311805,0.344366,0.577382,0.145558,12.537356,0.157114,0.888889,0.750000,0.988696,0.819161,2.446510,4.044305,1.549064,0.444444,9,0,0.000,0
CSS110205:120053-152620,1015063030814,180.220371,-15.439004,49.686381,45.600204,2.755000,0.186567,0.002327,0.004098,0.008322,0.073214,0.119288,0.000090,103.729604,0.240000,0.820896,0.566667,71.109983,65.995409,-1.867479,2.320347,1.409920,0.500000,134,9,0.376,0
CSS110205:121119-083957,1009065051076,182.829657,-8.665712,48.522285,52.797813,1.980000,0.113043,0.126199,0.212336,0.304747,0.445041,0.610853,-0.000259,836.734690,0.190000,0.965217,0.433333,11.823306,1.158066,-3.031550,11.903884,0.582526,0.495652,230,4,0.153,0
CSS110205:154418+084639,6040610908411005531,236.075228,8.777634,138.721910,44.687923,0.246484,0.500000,0.152370,0.389678,0.741699,0.917646,0.983063,0.000126,68.229008,0.165536,1.000000,0.444444,0.242313,0.428163,0.451008,-1.379318,0.190563,0.500000,10,0,0.000,0
CSS110207:061026-162859,1015032013895,92.606406,-16.483073,112.337923,-15.853942,2.030000,0.293103,0.052898,0.093659,0.150328,0.488804,0.912726,-0.000460,330.855018,0.460000,0.879310,0.466667,7.709636,7.308906,-0.662225,-0.228697,0.988186,0.482759,58,4,0.099,0
CSS110209:072612+462604,6112714602821029377,111.550696,46.434460,164.039220,25.616330,1.505538,0.200000,0.018523,0.032415,0.046306,0.403942,0.761577,-0.001923,10.735243,0.029193,0.800000,0.500000,0.933158,0.810220,1.496958,0.245997,1.181064,0.400000,5,0,0.000,0
CSS110226:095926-160147,1015052022270,149.860147,-16.029861,81.570919,30.208269,2.685000,0.083916,0.013903,0.022288,0.034989,0.059827,0.101338,-0.000225,190.812721,0.240000,0.944056,0.466667,71.443596,13.146445,-3.084898,10.081571,0.974417,0.496503,143,3,0.339,0
CSS110226:102522-154222,1015054025686,156.342565,-15.706008,76.297873,34.588286,3.750000,0.121951,0.000767,0.001634,0.003306,0.005973,0.042444,0.000075,192.429022,0.320000,0.869919,0.566667,379.189396,278.945667,-2.245017,3.776098,1.856465,0.479675,123,5,0.436,0
CSS110301:073759+205545,1121039039560,114.493909,20.929056,136.905367,19.892100,2.645000,0.130841,0.023730,0.034058,0.048842,0.065785,0.650929,-0.000204,218.130312,0.290000,0.887850,0.400000,46.424199,11.096940,-2.315247,4.861900,1.065033,0.495327,107,4,0.391,0
CSS110301:152038+040948,8021410408211020896,230.157694,4.163189,148.910777,47.058494,0.823007,0.666667,0.039039,0.417597,0.919093,0.942136,0.965010,-0.000073,14.704455,0.578555,1.000000,0.454545,0.771521,1.330152,0.284264,-1.469821,0.620910,0.500000,12,0,0.000,0
CSS110306:101031-093811,1009054036387,152.629996,-9.636698,84.610661,36.668855,2.325000,0.363636,0.327859,0.447755,0.494853,0.694835,0.985798,-0.000467,58.890147,1.465000,0.545455,0.476190,2.890979,3.657029,0.067888,-1.756247,1.762428,0.500000,22,0,0.000,0
CSS110309:085710-032029,6030400404811043711,134.290044,-3.341378,103.752762,26.319371,0.754321,0.235294,0.039809,0.079815,0.729288,0.872538,0.945210,0.000765,26.274198,0.054239,1.000000,0.500000,0.722169,0.795039,0.974605,-0.927335,0.568204,0.470588,17,0,0.000,0
